capability,status,level,evidence,next_gate
signed_arithmetic,WATCH,3,"простые отрицательные числа держатся; иногда сбой в цепочках",10 последовательных примеров с отрицательными числами
rational_number_line_module,NEW,0,"сравнение рациональных чисел на координатной прямой и модуль ещё не диагностировались как единый навык",сравнить рациональные числа через положение на прямой и объяснить модуль как расстояние
ratios_proportions_percent,NEW,0,"задачи на отношения пропорции и три типа задач на проценты ещё не диагностировались в смешанном контексте",выбрать модель отношения или пропорции и проверить ответ оценкой
like_terms_integer,PASS,4,"День 59: квадратные линейные и свободные слагаемые разделены и приведены верно во всех коррекционных примерах",поддерживать внутри операций с многочленами
like_terms_decimal,WATCH,3,"десятичные коэффициенты в целом пошли; нужен контроль знака",8 примеров с десятичными коэффициентами внутри преобразований
parentheses_positive,PASS,4,"коэффициент перед скобкой распределяется",использовать внутри доказательства тождеств
parentheses_negative,PASS,4,"Дни 52-53: смешанные примеры с отрицательным множителем решены верно, включая прежнюю ловушку",поддерживать в смешанных выражениях
factor_common_monomial,PASS,4,"Дни 55-56: общий множитель стабильно вынесен в основных и поддерживающих примерах; проверка раскрытием выполнена",поддерживать в разложении многочленов несколькими способами
binomial_multiplication,PASS,4,"День 61: три новых знаковых случая решены полностью от четырёх произведений до отдельной итоговой строки",поддерживать при доказательстве формул сокращённого умножения
powers_monomials,PASS,4,"Дни 41-42: степени и стандартный вид одночлена освоены; последующие произведения выполняются с сохранением коэффициента и степени",перенести свойства степеней на преобразование многочленов
polynomial_structure_operations,NEW,0,"степень многочлена деление многочлена на одночлен и корни многочлена ещё не диагностировались",привести многочлен к стандартному виду выполнить все операции и проверить найденный корень
square_of_sum,WATCH,3,"День 65: \(51^2\) и \(101^2\) вычислены со средним членом, полный квадрат восстановлен; общее тождество заменено одной подстановкой, случаи \(a=0\) или \(b=0\) не найдены",доказать буквенную формулу и получить все случаи равенства
identity_proof,NEW,0,"тождество и доказательство тождества пока не отделены от проверки на отдельных значениях",доказать тождество преобразованием обеих частей и объяснить почему подстановка не является доказательством
reasoning_generalization,WATCH,3,"День 65: формула суммы нечётных чисел и числовые выводы верны, но в телескопической цепочке ошибочно вычитался \(0^2\) вместо предыдущего квадрата",собрать корректное телескопическое доказательство и перенести его на сумму не с единицы
factorization_special_products,NEW,0,"полный набор формул сокращённого умножения включая кубы и сумму или разность кубов ещё не диагностировался",разложить многочлены несколькими способами и обосновать выбор формулы
coordinate_intervals_distance,NEW,0,"числовые промежутки и расстояние между точками координатной прямой ещё не диагностировались",перевести между неравенством промежутком и рисунком и вычислить расстояние
function_concept_graph_analysis,NEW,0,"область определения область значений нули возрастание и экстремумы по графику ещё не диагностировались",прочитать свойства незнакомого графика и сопоставить словесное описание с формулой
linear_function_abs_piecewise,NEW,0,"линейная функция график \(y=|x|\) и кусочно заданные функции ещё не диагностировались",построить графики восстановить параметры по условиям и объяснить изменение графика
divisibility_primes_criteria,NEW,0,"делимость простые числа и признаки делимости включая признаки на \(4\) \(8\) и \(11\) ещё не диагностировались",доказать делимость суммы или произведения и решить задачу с неизвестными цифрами
gcd_lcm_euclid,NEW,0,"взаимная простота НОД НОК и алгоритм Евклида ещё не диагностировались",найти НОД алгоритмом Евклида восстановить шаги и применить к содержательной задаче
remainders_arithmetic,NEW,0,"деление с остатком и арифметика остатков ещё не диагностировались",найти остаток сложного выражения без полного вычисления и обосновать правило
equations_one_root,WATCH,3,"решение линейных уравнений держится",всегда завершать делением на коэффициент и объяснять равносильность преобразований
equations_fraction_decimal_answers,WATCH,3,"дробные и десятичные ответы принимаются",5 уравнений с нецелым корнем
absolute_value_equations,NEW,0,"линейные уравнения со знаком модуля ещё не диагностировались",разделить случаи по смыслу расстояния и проверить полноту набора корней
special_equations,PASS,4,"случаи \(0x=0\), \(0x=a\) и \(ax=0\) различаются",связать особые случаи с числом решений линейного уравнения
linear_systems,NEW,0,"системы двух линейных уравнений ещё не диагностировались",решить систему графически подстановкой и сложением и построить модель текстовой задачи
simple_inequalities,PASS,4,"День 57: все пять неравенств решены верно без письменной опоры; строгость сохранена",поддерживать как язык числовых промежутков
negative_multiplier_inequalities,PASS,4,"День 57: направление и строгость удержаны без письменной опоры, включая десятичные коэффициенты и двухшаговый пример",поддерживать в смешанных блоках
substitution_check,PASS,4,"Дни 55-56: подходящие и неподходящие граничные значения различаются без ошибок",перенести на проверку корней многочлена и решений системы
word_problems_table,PASS,4,"таблица «было / стало» и уравнение строятся",выбирать между арифметической моделью уравнением системой и пропорцией без подсказки типа
variable_meaning,PASS,4,"День 60: исходная буква сохранена во всех строках трёх произведений и при исправлении готовой ошибки",использовать переменные для формул зависимостей и доказательства тождеств
mixed_transfer,PASS,4,"День 57: смешанный комплект без письменной опоры завершён верно; действия раскрытия и вынесения множителя выбраны самостоятельно",поддерживать при вводе новых разделов углублённой программы
