capability,status,level,evidence,next_gate
signed_arithmetic,WATCH,3,"простые отрицательные числа держатся; иногда сбой в цепочках",10 последовательных примеров с отрицательными числами
rational_number_line_module,NEW,0,"сравнение рациональных чисел на координатной прямой и модуль ещё не диагностировались как единый навык",сравнить рациональные числа через положение на прямой и объяснить модуль как расстояние
ratios_proportions_percent,NEW,0,"задачи на отношения пропорции и три типа задач на проценты ещё не диагностировались в смешанном контексте",выбрать модель отношения или пропорции и проверить ответ оценкой
like_terms_integer,PASS,4,"День 59: квадратные линейные и свободные слагаемые разделены и приведены верно во всех коррекционных примерах",поддерживать внутри операций с многочленами
like_terms_decimal,WATCH,3,"десятичные коэффициенты в целом пошли; нужен контроль знака",8 примеров с десятичными коэффициентами внутри преобразований
parentheses_positive,PASS,4,"коэффициент перед скобкой распределяется",использовать внутри доказательства тождеств
parentheses_negative,PASS,4,"Дни 52-53: смешанные примеры с отрицательным множителем решены верно, включая прежнюю ловушку",поддерживать в смешанных выражениях
factor_common_monomial,PASS,4,"Дни 55-56: общий множитель стабильно вынесен в основных и поддерживающих примерах; проверка раскрытием выполнена",поддерживать в разложении многочленов несколькими способами
binomial_multiplication,PASS,4,"День 61: три новых знаковых случая решены полностью от четырёх произведений до отдельной итоговой строки",поддерживать при доказательстве формул сокращённого умножения
powers_monomials,PASS,4,"Дни 41-42: степени и стандартный вид одночлена освоены; последующие произведения выполняются с сохранением коэффициента и степени",перенести свойства степеней на преобразование многочленов
polynomial_structure_operations,NEW,0,"степень многочлена деление многочлена на одночлен и корни многочлена ещё не диагностировались",привести многочлен к стандартному виду выполнить все операции и проверить найденный корень
square_of_sum,PASS,4,"День 67: по крайним коэффициентам самостоятельно получены \(p=9\) и \(q=5\), средний коэффициент восстановлен как \(2pq=90\), ошибка \(52\) исправлена вычислением \(2\cdot7\cdot4=56\)",поддерживать в обратных задачах и совместном применении формул
identity_proof,PASS,4,"День 71: подтверждающий пример и контрпример разведены по логической роли, после чего делимость произведения последовательных чётных чисел на \(8\) доказана для произвольного \(k\); один удачный случай не использован вместо общего доказательства",поддерживать различение примера контрпримера и доказательства в новых алгебраических и геометрических утверждениях
reasoning_generalization,WATCH,3,"День 71: число \(2025\) верно прочитано и как последний член и как значение суммы; правые границы трёх телескопических сумм сдвинуты до \(n^2\), \((n+1)^2\) и \((n+2)^2\), а сумма из \(12\) членов восстановлена по системе условий и независимо проверена",повторить индексный и смысловой перенос после паузы в новой задаче без готовой структуры
factorization_special_products,WATCH,3,"День 69: \(81y^2-25\) верно разложено на \((9y-5)(9y+5)\), уравнение сведено к \(x^2=4\), найдены и подстановкой проверены оба корня \(2\) и \(-2\)",перенести разность квадратов и полноту набора корней в задачу без подсказки вида формулы
coordinate_intervals_distance,NEW,0,"числовые промежутки и расстояние между точками координатной прямой ещё не диагностировались",перевести между неравенством промежутком и рисунком и вычислить расстояние
function_concept_graph_analysis,NEW,0,"область определения область значений нули возрастание и экстремумы по графику ещё не диагностировались",прочитать свойства незнакомого графика и сопоставить словесное описание с формулой
linear_function_abs_piecewise,NEW,0,"линейная функция график \(y=|x|\) и кусочно заданные функции ещё не диагностировались",построить графики восстановить параметры по условиям и объяснить изменение графика
divisibility_primes_criteria,WATCH,3,"День 71: пара \(2\) и \(4\) опровергла гарантированную делимость на \(16\), а разложение \(2k(2k+2)=4k(k+1)\) и чётность одного из \(k\), \(k+1\) дали общее доказательство делимости на \(8\)",перенести выделение гарантированного множителя на новую задачу о делимости без подсказки формы
gcd_lcm_euclid,NEW,0,"взаимная простота НОД НОК и алгоритм Евклида ещё не диагностировались",найти НОД алгоритмом Евклида восстановить шаги и применить к содержательной задаче
remainders_arithmetic,NEW,0,"деление с остатком и арифметика остатков ещё не диагностировались",найти остаток сложного выражения без полного вычисления и обосновать правило
equations_one_root,WATCH,3,"решение линейных уравнений держится",всегда завершать делением на коэффициент и объяснять равносильность преобразований
equations_fraction_decimal_answers,WATCH,3,"дробные и десятичные ответы принимаются",5 уравнений с нецелым корнем
absolute_value_equations,NEW,0,"линейные уравнения со знаком модуля ещё не диагностировались",разделить случаи по смыслу расстояния и проверить полноту набора корней
special_equations,PASS,4,"случаи \(0x=0\), \(0x=a\) и \(ax=0\) различаются",связать особые случаи с числом решений линейного уравнения
linear_systems,NEW,0,"системы двух линейных уравнений ещё не диагностировались",решить систему графически подстановкой и сложением и построить модель текстовой задачи
simple_inequalities,PASS,4,"День 57: все пять неравенств решены верно без письменной опоры; строгость сохранена",поддерживать как язык числовых промежутков
negative_multiplier_inequalities,PASS,4,"День 57: направление и строгость удержаны без письменной опоры, включая десятичные коэффициенты и двухшаговый пример",поддерживать в смешанных блоках
substitution_check,PASS,4,"Дни 55-56: подходящие и неподходящие граничные значения различаются без ошибок",перенести на проверку корней многочлена и решений системы
word_problems_table,PASS,4,"таблица «было / стало» и уравнение строятся",выбирать между арифметической моделью уравнением системой и пропорцией без подсказки типа
variable_meaning,PASS,4,"День 69: буквы \(a\) и \(b\) использованы как произвольные положительные значения в общем доказательстве, а вывод сформулирован сразу для всех допустимых пар",поддерживать смысл произвольной переменной в формулах доказательствах и контрпримерах
mixed_transfer,PASS,4,"День 57: смешанный комплект без письменной опоры завершён верно; действия раскрытия и вынесения множителя выбраны самостоятельно",поддерживать при вводе новых разделов углублённой программы
